,Unnamed: 0,Before (test_4),After (test_5),Test_6
0,0,biscuits,biscuits,biscuits
1,1,all-purpose flour,all-purpose flour,all-purpose flour
2,2,baking powder,baking powder,baking powder
3,3,salt,salt,salt
4,4,cup) cold butter,butter,butter
5,5,butermilk,butermilk,butermilk
6,6,sausage gravy,sausage,sausage
7,7,breakfast sausage,sausage,sausage
8,8,all-purpose flour,all-purpose flour,all-purpose flour
9,9,milk,milk,milk
10,10,seasoned salt,salt,salt
11,11,black pepper,black pepper,black pepper
12,12,dinner rolls or small sandwich buns (i used whole wheat),sandwich,sandwich
13,13,thinly shaved roast beef or ham (or both!),beef,beef
14,14,cheese (provolone,provolone,provolone
15,15,mayonnaise,mayonnaise,mayonnaise
16,16,grated onion (or dried onion flakes)),onion,onion
17,17,poppy seeds,poppy seeds,poppy seeds
18,18,spicy mustard,mustard,mustard
19,19,horseradish mayo or straight prepared horseradish,horseradish,horseradish
20,20,of worcestershire,of worcestershire,worcestershire
21,21,optional dressing ingredients,dressing,dressing
22,22,dressing,dressing,dressing
23,23,cumin seeds,cumin seeds,cumin seeds
24,24,extra virgin olive oil,olive oil,olive oil
25,25,fresh lemon juice,lemon juice,lemon juice
26,26,honey,honey,honey
27,27,fine sea salt,salt,salt
28,28,cayenne pepper,cayenne pepper,cayenne pepper
29,29,carrots,carrots,carrots
30,30,cooked chickpeas (or one - can,cooked chickpeas (or one - can,cooked chickpeas
31,31,dried pluots,dried pluots,dried pluots
32,32,fresh mint,mint,mint
33,33,for serving,for serving,for serving
34,34,biscuits,biscuits,biscuits
35,35,all-purpose flour,all-purpose flour,all-purpose flour
36,36,baking powder,baking powder,baking powder
37,37,sugar,sugar,sugar
38,38,salt,salt,salt
39,39,cup) cold butter,butter,butter
40,40,buttermilk,buttermilk,buttermilk
41,41,almond extract (optional),almond,almond
42,42,berries,berries,berries
43,43,mixed berries and/or sliced strawberries,strawberries,strawberries
44,44,sugar,sugar,sugar
45,45,zest and juice of small orange,orange,orange
46,46,sweet yogurt cream,yogurt,yogurt
47,47,ounces) plain greek yogurt,yogurt,yogurt
48,48,cold heavy cream,cream,cream
49,49,sugar,sugar,sugar
50,50,brown sugar,brown sugar,brown sugar
51,51,for each bowl,for each bowl,for each bowl
52,52,a big of greek yogurt,yogurt,yogurt
53,53,fresh pomegranate juice,pomegranate juice,pomegranate juice
54,54,a of honey,honey,honey
55,55,a of puffed quinoa crisps (or other cereal/granola),quinoa,quinoa
56,56,sprinkling of toasted sunflower seeds,sunflower seeds,sunflower seeds
57,57,optional,optional,optional
58,58,butter,butter,butter
59,59,ounces) mini marshmallows,marshmallows,marshmallows
60,60,rice krispies,rice krispies,rice krispies
61,61,assorted sprinkles,assorted sprinkles,assorted sprinkles
62,62,small chocolate easter eggs,chocolate,chocolate
63,63,plastic easter eggs,eggs,eggs
64,64,spinach,spinach,spinach
65,65,kamut,kamut,kamut
66,66,sunflower seeds,sunflower seeds,sunflower seeds
67,67,feta,feta,feta
68,68,fresh squeezed orange juice (app oranges),orange juice,orange juice
69,69,walnut oil,walnut oil,walnut oil
70,70,honey,honey,honey
71,71,red chili flakes,red chili flakes,red chili flakes
72,72,medium russet potatoes to ),potatoes,potatoes
73,73,salt and pepper,pepper,pepper
74,74,large eggs,eggs,eggs
75,75,non-stick cooking spray,non-stick cooking spray,non-stick cooking spray
76,76,fresh thyme leaves,thyme,thyme
77,77,ground sumac,ground sumac,ground sumac
78,78,scant fine sea salt,salt,salt
79,79,toasted sesame seeds,sesame seeds,sesame seeds
80,80,wheat pastry flour,pastry,pastry
81,81,roasted and unsalted shelled pistachios,roasted and unsalted shelled pistachios,roasted and unsalted shelled pistachios
82,82,baking powder,baking powder,baking powder
83,83,baking soda,soda,soda
84,84,sea salt,salt,salt
85,85,milk,milk,milk
86,86,eggs,eggs,eggs
87,87,coconut oil,coconut oil,coconut oil
88,88,honey,honey,honey
89,89,chocolate chips,chocolate,chocolate
90,90,fully cooked bone-in ham pounds),ham,ham
91,91,,,nan
92,92,brown sugar,brown sugar,brown sugar
93,93,spicy brown mustard,mustard,mustard
94,94,dr pepper or coke,dr pepper,dr pepper
95,95,apple cider vinegar,vinegar,vinegar
96,96,sugar,sugar,sugar
97,97,water,water,water
98,98,juice of orange,orange,orange
99,99,zest of orange,orange,orange
100,100,vanilla beans,vanilla,vanilla
101,101,strawberries,strawberries,strawberries
102,102,blueberries,blueberries,blueberries
103,103,red grapes,grapes,grapes
104,104,green grapes,grapes,grapes
105,105,mint leaves,mint,mint
106,106,tart dough,tart dough,tart dough
107,107,all-purpose flour,all-purpose flour,all-purpose flour
108,108,salt,salt,salt
109,109,sugar,sugar,sugar
110,110,tbsp) cold butter,butter,butter
111,111,large egg yolk,egg,egg
112,112,heavy cream,cream,cream
113,113,vanilla,vanilla,vanilla
114,114,chocolate bottom,chocolate,chocolate
115,115,heavy cream,cream,cream
116,116,bittersweet chocolate,chocolate,chocolate
117,117,pumpkin filling,pumpkin,pumpkin
118,118,canned pumpkin pur’e,pumpkin,pumpkin
119,119,granulated sugar,sugar,sugar
120,120,ground cinnamon,cinnamon,cinnamon
121,121,ground allspice,allspice,allspice
122,122,ground,ground,ground
123,123,ground nutmeg,nutmeg,nutmeg
124,124,heavy cream,cream,cream
125,125,large eggs,eggs,eggs
126,126,cornstarch,cornstarch,cornstarch
127,127,bittersweet chocolate,chocolate,chocolate
128,128,milk,milk,milk
129,129,unsalted butter,butter,butter
130,130,unbleached all-purpose flour,all-purpose flour,all-purpose flour
131,131,fine grain sea salt,salt,salt
132,132,baking powder,baking powder,baking powder
133,133,raw,raw,raw
134,134,toasted sesame seeds,sesame seeds,sesame seeds
135,135,toasted sunflower seeds,sunflower seeds,sunflower seeds
136,136,large eggs,eggs,eggs
137,137,″ tortillas (i used sprouted grain tortillas from wf),tortillas,tortillas
138,138,olive oil,olive oil,olive oil
139,139,garlic,garlic,garlic
140,140,cheese,cheese,cheese
141,141,black beans,black beans,black beans
142,142,spinach,spinach,spinach
143,143,juice from lime,juice,juice
144,144,cilantro,cilantro,cilantro
145,145,a few of hot sauce,sauce,sauce
146,146,hard boiled eggs,eggs,eggs
147,147,mayonnaise,mayonnaise,mayonnaise
148,148,grainy dijon mustard,dijon mustard,dijon mustard
149,149,salt and pepper,pepper,pepper
150,150,several worcestershire sauce,worcestershire sauce,worcestershire sauce
151,151,leftover baked ham,ham,ham
152,152,kaiser rolls or other bread,bread,bread
153,153,extra mayonnaise and dijon,mayonnaise,mayonnaise
154,154,swiss cheese or other cheese slices,cheese,cheese
155,155,thinly sliced red onion,red onion,red onion
156,156,avocado slices,avocado,avocado
157,157,sliced tomatoes,tomatoes,tomatoes
158,158,lettuce,lettuce,lettuce
159,159,olive oil or clarified butter,clarified butter,clarified butter
160,160,of kale,of kale,kale
161,161,cooked brown rice,brown rice,brown rice
162,162,to serve,to serve,to serve
163,163,#NAME?,#NAME?,capers
164,164,#NAME?,egg,egg
165,165,#NAME?,yogurt,yogurt
