,Before (test_4),After (test_5)
0,biscuits,biscuits
1,all-purpose flour,all-purpose flour
2,baking powder,baking powder
3,salt,salt
4,cup) cold butter,butter
5,butermilk,butermilk
6,sausage gravy,sausage
7,breakfast sausage,sausage
8,all-purpose flour,all-purpose flour
9,milk,milk
10,seasoned salt,salt
11,black pepper,black pepper
12,dinner rolls or small sandwich buns (i used whole wheat),sandwich
13,thinly shaved roast beef or ham (or both!),beef
14,cheese (provolone,provolone
15,mayonnaise,mayonnaise
16,grated onion (or dried onion flakes)),onion
17,poppy seeds,poppy seeds
18,spicy mustard,mustard
19,horseradish mayo or straight prepared horseradish,horseradish
20,of worcestershire,of worcestershire
21,optional dressing ingredients,dressing
22,dressing,dressing
23,cumin seeds,cumin seeds
24,extra virgin olive oil,olive oil
25,fresh lemon juice,lemon juice
26,honey,honey
27,fine sea salt,salt
28,cayenne pepper,cayenne pepper
29,carrots,carrots
30,cooked chickpeas (or one - can,cooked chickpeas (or one - can
31,dried pluots,dried pluots
32,fresh mint,mint
33,for serving,for serving
34,biscuits,biscuits
35,all-purpose flour,all-purpose flour
36,baking powder,baking powder
37,sugar,sugar
38,salt,salt
39,cup) cold butter,butter
40,buttermilk,buttermilk
41,almond extract (optional),almond
42,berries,berries
43,mixed berries and/or sliced strawberries,strawberries
44,sugar,sugar
45,zest and juice of small orange,orange
46,sweet yogurt cream,yogurt
47,ounces) plain greek yogurt,yogurt
48,cold heavy cream,cream
49,sugar,sugar
50,brown sugar,brown sugar
51,for each bowl,for each bowl
52,a big of greek yogurt,yogurt
53,fresh pomegranate juice,pomegranate juice
54,a of honey,honey
55,a of puffed quinoa crisps (or other cereal/granola),quinoa
56,sprinkling of toasted sunflower seeds,sunflower seeds
57,optional,optional
58,butter,butter
59,ounces) mini marshmallows,marshmallows
60,rice krispies,rice krispies
61,assorted sprinkles,assorted sprinkles
62,small chocolate easter eggs,chocolate
63,plastic easter eggs,eggs
64,spinach,spinach
65,kamut,kamut
66,sunflower seeds,sunflower seeds
67,feta,feta
68,fresh squeezed orange juice (app oranges),orange juice
69,walnut oil,walnut oil
70,honey,honey
71,red chili flakes,red chili flakes
72,medium russet potatoes to ),potatoes
73,salt and pepper,pepper
74,large eggs,eggs
75,non-stick cooking spray,non-stick cooking spray
76,fresh thyme leaves,thyme
77,ground sumac,ground sumac
78,scant fine sea salt,salt
79,toasted sesame seeds,sesame seeds
80,wheat pastry flour,pastry
